Repository,Owner,Stars,Forks,Issues,Language,Created,Updated
public-apis,public-apis,446976,49095,1503,Python,2016-03-20T23:49:42Z,2026-07-06T07:09:38Z
free-programming-books,EbookFoundation,391348,66485,75,Python,2013-10-11T06:50:37Z,2026-07-06T07:08:07Z
system-design-primer,donnemartin,356297,57051,568,Python,2017-02-26T16:15:28Z,2026-07-06T07:10:36Z
awesome-python,vinta,306564,28222,21,Python,2014-06-27T21:00:06Z,2026-07-06T07:02:45Z
project-based-learning,practical-tutorials,272228,35144,280,Python,2017-04-12T05:07:46Z,2026-07-06T07:09:54Z
Python,TheAlgorithms,222442,50824,999,Python,2016-07-16T09:44:01Z,2026-07-06T06:42:26Z
hermes-agent,NousResearch,209879,38387,26081,Python,2025-07-22T22:22:28Z,2026-07-06T07:08:45Z
AutoGPT,Significant-Gravitas,185399,46121,467,Python,2023-03-16T09:21:07Z,2026-07-06T06:58:11Z
yt-dlp,yt-dlp,175513,14829,2497,Python,2020-10-26T04:22:55Z,2026-07-06T07:07:35Z
HelloGitHub,521xueweihan,164095,12284,489,Python,2016-05-04T06:24:11Z,2026-07-06T07:05:45Z
stable-diffusion-webui,AUTOMATIC1111,163999,30378,2494,Python,2022-08-22T14:05:26Z,2026-07-06T06:55:02Z
markitdown,microsoft,163256,11564,832,Python,2024-11-13T19:56:40Z,2026-07-06T07:10:55Z
transformers,huggingface,162287,33783,2492,Python,2018-10-29T13:56:00Z,2026-07-06T06:57:33Z
skills,anthropics,158541,18700,1011,Python,2025-09-22T15:53:31Z,2026-07-06T07:08:12Z
langflow,langflow-ai,151217,9447,978,Python,2023-02-08T22:28:03Z,2026-07-06T06:44:12Z
open-webui,open-webui,144372,20860,320,Python,2023-10-06T22:08:27Z,2026-07-06T07:06:17Z
langchain,langchain-ai,141050,23441,404,Python,2022-10-17T02:58:36Z,2026-07-06T07:06:37Z
youtube-dl,ytdl-org,140643,10677,4128,Python,2010-10-31T14:35:07Z,2026-07-06T07:09:16Z
claude-code,anthropics,136411,21919,9919,Python,2025-02-22T17:41:21Z,2026-07-06T07:09:20Z
ComfyUI,Comfy-Org,119576,14037,4229,Python,2023-01-17T03:15:56Z,2026-07-06T06:52:16Z
spec-kit,github,118237,10469,402,Python,2025-08-21T22:54:31Z,2026-07-06T07:06:25Z
awesome-llm-apps,Shubhamsaboo,116583,17340,6,Python,2024-04-29T05:30:25Z,2026-07-06T07:06:15Z
whisper,openai,104292,12710,134,Python,2022-09-16T20:02:54Z,2026-07-06T06:50:24Z
DeepSeek-V3,deepseek-ai,103868,16728,272,Python,2024-12-26T09:52:40Z,2026-07-06T06:22:38Z
browser-use,browser-use,102992,11413,284,Python,2024-10-31T16:00:56Z,2026-07-06T07:09:40Z
pytorch,pytorch,101522,28268,18260,Python,2016-08-13T05:26:41Z,2026-07-06T06:58:25Z
ui-ux-pro-max-skill,nextlevelbuilder,101369,10687,125,Python,2025-11-30T11:36:31Z,2026-07-06T07:05:45Z
fastapi,fastapi,100060,9546,95,Python,2018-12-08T08:21:47Z,2026-07-06T07:10:33Z
thefuck,nvbn,97479,3949,455,Python,2015-04-08T15:08:04Z,2026-07-06T04:46:04Z
MoneyPrinterTurbo,harry0703,95888,13969,52,Python,2024-03-11T02:57:34Z,2026-07-06T07:09:49Z
Deep-Live-Cam,hacksider,94626,13807,62,Python,2023-09-24T13:19:31Z,2026-07-06T06:50:58Z
TradingAgents,TauricResearch,91164,17623,276,Python,2024-12-28T03:31:08Z,2026-07-06T07:07:01Z
autoresearch,karpathy,89957,12992,202,Python,2026-03-06T22:00:43Z,2026-07-06T07:05:54Z
core,home-assistant,88212,37836,3413,Python,2013-09-17T07:29:48Z,2026-07-06T06:55:28Z
manim,3b1b,88111,7349,496,Python,2015-03-22T18:50:58Z,2026-07-06T06:20:14Z
django,django,88017,34005,455,Python,2012-04-28T02:47:18Z,2026-07-06T06:44:22Z
sherlock,sherlock-project,86122,10077,307,Python,2018-12-24T14:30:48Z,2026-07-06T05:47:21Z
vllm,vllm-project,85446,18997,5555,Python,2023-02-09T11:23:20Z,2026-07-06T07:09:23Z
PaddleOCR,PaddlePaddle,84773,10962,217,Python,2020-05-08T10:38:16Z,2026-07-06T07:08:14Z
devops-exercises,bregman-arie,83038,19650,48,Python,2019-10-03T17:31:21Z,2026-07-06T07:00:02Z
funNLP,fighting41love,81630,15252,52,Python,2018-08-21T11:20:39Z,2026-07-06T06:39:39Z
odysseus,pewdiepie-archdaemon,81000,10622,1594,Python,2026-05-31T14:05:51Z,2026-07-06T07:07:48Z
OpenHands,OpenHands,79561,10148,349,Python,2024-03-13T03:33:31Z,2026-07-06T07:11:05Z
PayloadsAllTheThings,swisskyrepo,78955,17147,31,Python,2016-10-18T07:29:07Z,2026-07-06T06:07:29Z
d2l-zh,d2l-ai,78700,12298,131,Python,2017-08-23T04:40:24Z,2026-07-06T07:10:00Z
graphify,Graphify-Labs,78294,7740,434,Python,2026-04-03T15:49:07Z,2026-07-06T07:10:53Z
hackingtool,Z4nzu,78032,8860,118,Python,2020-04-11T09:21:31Z,2026-07-06T07:05:23Z
models,tensorflow,77672,44998,1290,Python,2016-02-05T01:15:20Z,2026-07-06T04:50:43Z
deer-flow,bytedance,76207,10319,935,Python,2025-05-07T02:50:19Z,2026-07-06T07:10:07Z
cpython,python,73578,34825,9406,Python,2017-02-10T19:23:51Z,2026-07-06T07:10:01Z
MinerU,opendatalab,73554,6180,29,Python,2024-02-29T08:52:34Z,2026-07-06T07:02:37Z
awesome-machine-learning,josephmisiti,73200,15527,18,Python,2014-07-15T19:11:19Z,2026-07-06T06:20:22Z
screenshot-to-code,abi,73163,9012,124,Python,2023-11-14T17:53:32Z,2026-07-06T06:14:08Z
LlamaFactory,hiyouga,72984,8923,1065,Python,2023-05-28T10:09:12Z,2026-07-06T06:59:59Z
